Pais,Nome da receita,Imagem,Descrição,Link da receita
Áustria,Marzipã,https://s2-receitas.glbimg.com/FGYmKjo04NS0I4qVpz9A0eySipo=/0x0:1280x958/1360x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/N/X/bezlN2RSOrS9BN4RdzwA/marzipa.jpeg,"Bastante popular na Áustria e em outros países da Europa, o Marzipã é uma massa doce feita à base de dois ingredientes: amêndoas moídas e açúcar. Além disso, precisa de apenas mais um ingrediente para dar liga, podendo ser clara de ovo ou água de rosas. Com uma textura macia e sabor amendoado, é consumido junto ou separadamente de outros doces.",https://receitas.globo.com/regionais/rpc/estudio-c/marzipa-aprenda-a-fazer-esse-facil-e-delicioso-doce-austriaco-g.ghtml
Bélgica,Carbonade flamande,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/s/O/BVEvnNR3GXMnAzX2i9vQ/designer.png,"Tradicional da culinária belga, a Carbonade flamande é um ensopado de carne bovina. No entanto, apesar de ser uma receita comum em outros países da Europa, na Bélgica o seu diferencial é o modo de preparo. A carne é cozida lentamente em cerveja escura — também muito comum no país.",https://receitas.globo.com/receitas-da-tv/diario-do-olivier/carbonade-flamande-carne-na-cerveja-belga-do-diario-do-olivier-gnt.ghtml
Bósnia e Herzegovina,Cevapi,https://s2-receitas.glbimg.com/uwUQ1uTVf0uLd19rLQ1kvrBqCF0=/0x0:1200x1600/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2022/t/r/V37uc2QB2orsWcaWhduA/cevapi-com-shopska-salata.jpeg,"O ćevapi (pronuncia-se “tchê-vá-pi”) é um prato típico de países como Sérvia e Bósnia. É basicamente composto por carne moída grelhada na forma de rodelas de carne - lembrando a nossa conhecida almôndega - , geralmente servida com pão pita (como um pão sírio mais grosso) e cebola.",https://receitas.globo.com/dietas/saudavel/c-a-copa-na-mesa-receitas-de-brasil-servia-suica-e-camaroes.ghtml
Cabo Verde,Cachupa,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/O/p/E6agdkRHiFHYwLQu8nFA/cachupa.png,"A Cachupa não é apenas um prato típico de Cabo Verde, mas também uma receita que representa a diversidade cultural da região. Trata-se de um cozido que tem como base o milho e diferentes tipos de feijão. Além disso, há duas versões de Cachupa: uma mais simples, muito comum no dia a dia, em que é acrescentado vegetais à receita. Há uma versão mais festiva do prato, em que se inclui uma variedade carnes ao cozido.",https://receitas.globo.com/tipos-de-prato/carnes/cachupa-4d51591152e0b252bc00f485.ghtml
Catar,Machboos,https://s2-receitas.glbimg.com/L5tofCNXz7G78-gS7eGclhTmFUI=/0x0:2048x1536/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/f/k/r9TAnWQn6qNpSTcISxyQ/bardavid-34.jpeg,"Machboos é um prato típico do Catar. Feito com arroz basmati e frango, receita lembra a nossa galinhada, com o diferencial no uso das especiarias, fundamentais na culinária árabe, como canela, cravo, cardamomo, pimenta-do-reino, limão seco e louro.",https://receitas.globo.com/machboos.ghtml
Colômbia,Sancocho,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/9/e/BIy6ovQiO7BqpiB0YhVA/haiti-repdom-93-of-140-.jpg,"O Sancocho é um ensopado bastante popular em parte da América Latina, mas que se destaca na Colômbia como um dos pratos típicos do país. Trata-se de uma sopa bastante espessa, farta e que conta com três ingredientes básicos: banana-da-terra, mandioca e batatas. Além disso também é cozido com diferentes carnes e temperos. A espiga de milho também é um dos ingredientes que ressalta o sabor do Sancocho.",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/sancocho-hilbert-aprende-fazer-prato-tradicional-colombiano-gnt.ghtml
Costa do Marfim,Denguê,https://s2-receitas.glbimg.com/nLCtw06ixwXOy5sptkwh5FldDZg=/0x0:1366x900/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/n/s/VFfFAQRrCEdsrNyhrxzA/dengue-doce-africano.jpg,"O Denguê é uma sobremesa leve e refrescante, tradicional das famílias da Costa do Marfim, país situado na África Ocidental. Preparado com apenas cinco ingredientes simples, o doce tem preparo fácil e é naturalmente livre de glúten graças ao uso do painço. Além disso, também leva leite fermentado caseiro com leite em pó dissolvido em água, iogurte natural e açúcar.",https://receitas.globo.com/tipos-de-prato/doces-e-sobremesas/dengue-sobremesa-africana-sem-gluten-leva-5-ingredientes.ghtml
Croácia,Soparnik,https://s2-receitas.glbimg.com/H7DXS2PQa7oJR3V046osJdCwp80=/0x0:612x408/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2022/z/P/HpwA2oTjSiosBxTOdiNw/soparnik-eu-atleta.jpg,"A Croácia é um país da Europa Oriental que tem como prato típico o Soparnik! Feito no forno, com massa crocante e recheio de acelga, os croatas acreditam que o Soparnik serviu de inspiração para a pizza. Sua massa é simples, feita a partir de farinha, água, sal e azeite.",https://receitas.globo.com/dietas/saudavel/c-a-copa-na-mesa-receitas-de-belgica-canada-marrocos-e-croacia.ghtml
Curaçao,Sopa de iguana,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/S/p/PcUCAzQnWwQ8a3ECzOMg/sopa-de-iguana.png,"A sopi di yuna, ou sopa de iguana, é uma das iguarias de Curaçao. Por ser um animal em abundância na região, receitas com a carne do réptil são comuns no país. A sopa de iguana nada mais é do que um caldo com legumes. Porém, como no Brasil a iguana é um animal silvestre, adaptamos o cozido com carne de frango. ",https://receitas.globo.com/tipos-de-prato/sopas/sopa-de-iguana-com-frango.ghtml
Egito,Koshari,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/v/g/hqNTjNTDa6y3h5U0ltCA/koshari.png,"Koshari é um prato típico da culinária egípcia que leva lentilhas, arroz e macarrão. Algumas receitas, no entanto, também podem incluir grão-de-bico. Depois de seus cozimentos, os ingredientes são misturados e ainda recebem um molho de tomate temperado por cima. Há também quem acrescente cebola frita. O Koshari é uma comida de rua bastante popular nas cidades do Egito.",https://receitas.globo.com/tipos-de-prato/macarrao/koshari-arroz-com-lentilha-e-macarrao.ghtml
Equador,Encocado,https://s2-receitas.glbimg.com/8Altt4u_G78WS2mv8k49jTrdEls=/0x0:3000x2544/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/y/S/9i7e7YSyGx7djAgb3AAA/equador-110-of-198-.jpg,"O Encocado é um prato tradicional do Equador e bastante parecido com a Moqueca de peixe do Brasil. As duas receitas são à base de peixe e leite de coco, porém, o diferencial está no tempero. O Encocado é marcado pelo gosto do cominho e alho refogado. ",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/encocado-gnt.ghtml
Escócia,Shortbread,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/4/m/KXNbeUShCWGyPDjwzIWg/butter-cookies.jpg,"O Shortbread é um biscoito tradicional da Escócia e tem uma massa leve, que desmancha na boca. A receita se diferencia por ter um sabor amanteigado e necessidade de descansar na geladeira por cerca de quatro horas. O Shortbread é ideal para acompanhar cafés, chás e outras sobremesas.",https://receitas.globo.com/receitas-da-tv/alma-de-cozinheira/shortbread-com-confit-de-pera-e-manchego.ghtml
Espanha,Paella,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/H/U/cK5n3IT6ACcbda2FBBNA/paella-de-frutos-do-mar.jpg,"A Paella é uma receita típica Espanhola que mistura especiarias, temperos, frutos do mar e arroz parboilizado. Apesar de levar vários ingredientes, como alho, tomate, pimentão, açafrão, vagem, ervilha, sal, pimenta-do-reino e azeite, é feita em uma panela só. Uma ótima opção para ocasiões especiais.",https://receitas.globo.com/receitas-da-tv/mais-voce/paella-4d50720a52e0b252bc001285.ghtml
Fraça,Steak tartare,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2025/D/1/hUREBTSXyJYLug2R0Vow/steak-tartare.jpg,"Um clássico da alta gastronomia francesa, o Steak tartare é um prato que serve como entrada ou prato principal. Feito com carne e servido cru, a receita se destaca pela qualidade do corte, geralmente filé mignon, temperado com mostarda Dijon, alcaparras, picles, cebola roxa. Sua finalização consiste uma gema de ovo crua em cima do bolo de carne.",https://receitas.globo.com/receitas-da-tv/mais-voce/steak-tartar-da-ana-maria-fd18ed88-e6d4-48dd-aec0-9bea36457a6d.ghtml
Gana,Banku,https://s2-receitas.glbimg.com/3Z40eeb09zbxbes83hjmhanr5LE=/0x0:1254x836/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2022/U/s/vrnrlASHCyZP0um2LGJA/istock-1411039389.jpg,"O Banku são bolos de massa fermentada de milho e mandioca servidas com sopas ou cozidos. Segundo a Embaixada de Gana no Brasil, o Banku é um dos principais pratos da culinária ganense. Feito com mandioca e milho fermentados, dois ingredientes que servem como base da alimentação do país.",https://receitas.globo.com/dietas/saudavel/c-a-copa-na-mesa-receitas-de-portugal-gana-uruguai-e-coreia-do-sul.ghtml
Haiti,Griot,https://s2-receitas.glbimg.com/04PtvugwvZktfgeKv0wteB09m4s=/0x0:4716x3144/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/s/4/tXIN0ATzyaCveRvspnrg/haiti-repdom-98-of-140-.jpg,"Griot é um prato tradicional do Haiti feito com pernil frito e marinado, acompanhado de banana-da-terra frita. A receita também leva outros ingredientes, como cebola, pimentão, pimenta e laranja. Com o objetivo de deixar o pernil mais saboroso e suculento, o recomendado é deixá-lo marinando por, no mínimo, quatro horas.",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/griot-gnt.ghtml
Holanda,Frikandel,https://s2-receitas.glbimg.com/GH7ed-mbKLAaF1FvqQPxcRF51hE=/0x0:1135x924/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2022/U/2/rSPL0yThAKvAQEBQnQ2Q/prato-tipico-holanda.jpg,"O Frikandel é um petisco bastante comum nos Países Baixos, principalmente na região da Holanda. Parecido com o croquete do Brasil, trata-se de um bolinho de carne picada, podendo ser de boi, frango ou pouco, em formato de salsicha, empanado em farinha de rosca e frito. É uma ótima opção de petisco. ",https://receitas.globo.com/dietas/saudavel/c-copa-do-mundo-receitas-de-catar-holanda-senegal-e-equador.ghtml
Inglaterra,Bife Wellington,https://s2-receitas.glbimg.com/NMNEE1L6iTqGzWikJ1uZf6FD0YM=/0x0:1920x1080/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/h/9/ciavnXRm6UXZQjFkyAFg/bife-wellington.jpg,"O Bife Wellington é uma das especialidade da culinária inglesa. Com filé-mignon, presunto cru, pasta de cogumelos e massa folhada pronta, é uma ótima opção para ocasiões especiais. Apesar de exigir um pouco de técnica no seu preparo, o resultado é uma suculenta carne coberta por uma crosta dourada.",https://receitas.globo.com/tipos-de-prato/carnes/bife-wellington.ghtml
Iraque,Hrise de carne,https://s2-receitas.glbimg.com/fDYzAhs3kMZYmCr-M_h-3r5wHRo=/0x0:1920x1080/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/X/9/kBOrGpTzufYz3KkGelvQ/hrise-de-carne-com-fattoush-do-kaysar-dadour-copiar.jpg,"Conhecido também com o harisa ou harise, o prato é uma iguaria muito famosa em países árabes, como Síria, Líbano e Iraque. Feito a partir de patinho moído e trigo grosso, o Hrise de carne é umas espécie de mingau cremoso de carne e que fica ainda mais completo quando acompanhando por uma salada.",https://receitas.globo.com/receitas-da-tv/panelaco/hrise-de-carne-com-fattoush.ghtml
Japão,Okonomiyaki,https://s2-receitas.glbimg.com/r0nCqaVtAVlZgfs6MwXHhhTM2TU=/0x0:1600x900/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/A/T/6UrA0AQzaAv28cFoXe8Q/okonomiyaki-panqueca-japonesa-como-fazer.jpg,"O Okonomiyaki é um prato da culinária japonesa que surgiu durante a Segunda Guerra Mundial por conta da escassez de arroz. Trata-se de uma panqueca, que, na sua versão mais popular, é feita com farinha de trigo e repolho. Porém, outros ingredientes podem ser adicionados. ""Okonomi"" pode ser traduzido como ""o que você preferir"" e ""yaki"" significa grelhado.",https://receitas.globo.com/tipos-de-prato/massas/okonomiyaki-panqueca-de-repolho-japonesa.ghtml
Jordânia,Falafel,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/u/O/kX7KDQSByZ6OgITppxbA/capa-materias-site-2023-10-25t144818.796.png,"Falafel é um bolinho de grão-de-bico frito que leva também coentro, fava seca, noz moscada e pimenta síria. Considerado uma comida de rua comum em vários países árabes, a origem do falafel é um verdadeiro debate. Presente em toda cultura do Oriente Médio, incluindo a Jordânia, é um prato popular em toda a região.",https://receitas.globo.com/regionais/rpc/estudio-c/receita-facil-de-falafel-comida-arabe-nutritiva-e-deliciosa.ghtml
Marrocos,Tajine,https://s2-receitas.glbimg.com/i4ZbUcvIIj42ibunx0ZxZbPNyC4=/0x0:1920x1080/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/B/x/DNkClATiC5FLRnUAzBvw/fileuploads-245771-7158299-27-fd339dfbe49df3aaaff0a9d406532db8-still0927-00003.png,"Tajine é um prato tradicional típico de diversos países do norte de África, sobretudo de Marrocos, onde se originou. Trata-se de um ensopado que combina diferentes carnes com legumes, frutas secas e algumas especiarias. A receita leva o mesmo nome da panela de barro em que é preparada, que possui uma tampa projetada para reter o vapor dos ingredientes.",https://receitas.globo.com/regionais/rpc/estudio-c/receita-de-tajine.ghtml
Noruega,Serinakaker,https://s2-receitas.glbimg.com/45DqLU-6Kb593kbNW0Vvk9Txrbw=/0x0:960x638/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/w/H/Qxye4FQiuFBjNxUxnh8Q/serinakaker-biscoito-amanteigado1.jpg,"Serinakaker é uma receita de biscoito amanteigado de origem norueguesa, ideal para o café da manhã e lanche da tarde. Prático de fazer, biscoito ganha um toque crocante com o uso de amêndoas na sua finalização. A massa é levada para a geladeira antes de ser cortada e levada ao forno, ficando pronta em poucos minutos.",https://receitas.globo.com/tipos-de-prato/doces-e-sobremesas/serinakaker-biscoito-amanteigado.ghtml
Nova Zelândia,Fish and chips,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/X/z/ILA0LoT0SJ1O9E28gu5g/fish-and-chips-receita.jpg,"Herdado da cultura britânica, o filé de peixe com batata se tornou um dos pratos mais simbólicos da Nova Zelândia. Como o país é composto, principalmente, por duas grandes ilhas e cortado pelo Oceano Pacífico, o consumo de frutos do mar é alto. Então, é fácil encontrar porções generosas de peixe frito com batata frita pelas cidades da região.",https://receitas.globo.com/receitas-da-tv/mais-voce/fish-and-chips-peixe-empanado-com-batata-frita.ghtml
Panamá,Sopa borracha,https://s2-receitas.glbimg.com/O05XrsSWNTyAO4uBf8EoSkOqBlw=/0x0:984x656/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/r/T/WCItztS2AhTawcGylrsg/sopa-borracha-receita.jpg,"A Sopa borracha é uma sobremesa tradicional no Panamá. Feita com pão de ló, calda de rum, uva passa e vinho, o prato pode até confundir no nome, mas seu sabor não deixa dúvidas. Bem longe de ser um ensopado, trata-se de fatias de pão de ló regadas por uma calda doce. A montagem da Sopa de borracha é simples, podendo ser feita em um copo ou taça.",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/sopa-de-borracha-gnt.ghtml
Paraguai,Porco à Paraguaia,https://s2-receitas.glbimg.com/ncY0SL6BaZ52NATS5GOR07Muh-U=/0x0:1200x1600/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/g/S/0iKUoMTiirDkPAtnd55g/whatsapp-image-2024-11-04-at-10.51.33.jpeg,"A origem do Porco à Paraguaia remonta ao campo, onde o aproveitamento integral do animal era essencial e o preparo da carne no calor da brasa permitia a conservação e o realce do sabor. Inspirado em técnicas tradicionais de defumação e na culinária do Paraguai, o prato também ganhou popularidade no Brasil.",https://receitas.globo.com/regionais/tv-vanguarda/receita-de-porco-a-paraguaia-prato-para-se-deliciar-no-interior-de-sp.ghtml
Portugal,Bolinho de bacalhau,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/Q/O/HNDnq7SbKrH2BByPE4bQ/capa-home.jpg,"O Bolinho de bacalhau é uma das grandes especialidades da gastronomia portuguesa. Acredita-se que a receita surgiu no final do século XIX e ganhou mais força após a chegada da Família Real no Brasil. E o melhor desse petisco é a necessidade de poucos ingredientes: bacalhau desfiado, batata, farinha de rosca, ovo e temperos.",https://receitas.globo.com/receitas-da-tv/mais-voce/bolinho-de-bacalhau-sem-erro-52bd64c64d38851fb300003f.ghtml
RD do Congo,Sekelembe,https://s2-receitas.glbimg.com/yo-_hOi_e1364s7r7zPDVKYG_F4=/0x0:1170x662/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/w/c/hvcxV3THKXEO6UhJQM6Q/photo-2024-11-18-12-51-45-2-.jpg,"O Sekelembe é um prato tradicional da República Democrática do Congo e traz uma combinação de sabores e texturas. Com suas folhas secas, que trazem um toque único, o molho à base de pasta de amendoim proporciona cremosidade e um sabor delicioso.",https://receitas.globo.com/receitas-da-tv/vim-de-la-comidas-pretas/sekelembe-com-fufu-do-chez-kimberly.ghtml
República da Coreia,hot dog coreano,https://publish.img.video.globoi.com/640x360/14253109.jpg,"O hot dog coreano é um lanche que consiste em salsicha empanada e frita. Trata-se de uma variação do corn dog, popular nos Estados Unidos e que leva uma cobertura de fubá. A versão da Coreia do Sul possui uma massa mais leve à base de farinha de trigo.",https://receitas.globo.com/tipos-de-prato/paes-e-salgados/hot-dog-coreano-facil-para-o-lanche.ghtml
RI Irã,Tahchin,https://s2-receitas.glbimg.com/AdclFR8-hKSaPNj8XqeGYOZRkfM=/0x0:1280x960/984x0/smart/filters:strip_icc()/s2.glbimg.com/-U-2xfHg-S6Fdhae0qapokIRnSE%3D/s.glbimg.com/et/gs/f/original/2016/12/06/whatsapp_image_2016-12-06_at_09.25.58.jpeg,"Um clássico da culinária iraniana, o Tahchin é uma espécie de bolo de arroz salgado. Depois de cozido, o grão é misturado com açafrão, iogurte e ovos até virar uma massa. Em seguida, é recheado com o frango, cordeiro ou até mesmo vegetais, e assado até se formar uma crosta dourada e crocante. ",https://receitas.globo.com/receitas-da-tv/mais-voce/tahchin-arroz-com-frango-e-iogurte-69314ec4-21c6-43e3-a8ef-2b316b211621.ghtml
Senegal,Arroz jollof,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2025/U/A/3sWIjvRVqIiA5pAW3t1Q/arroz-jollof.jpg,"O Arroz jollof é servido com frequência em datas comemorativas nos países da denominada África Ocidental, o Senegal. Conhecido pela sua cor avermelhada, o arroz é cozido no forno e pode levar diferentes tipos de carnes e peixes.",https://receitas.globo.com/series-originais/funcionario-do-mes/arroz-jollof-com-camarao-grelhado-gnt.ghtml
Suécia,Vit kladdchokladtårta ,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/6/o/CCOAoERS6oCF2NQCGLNA/bolo.png,"O Vit kladdchokladtårta ou bolo de chocolate branco, é uma sobremesa tradicional da Suécia. A tradução literal de ""kladdchokladtårta"" é ""bolo de chocolate pegajoso"", justamente porque a receita possui uma textura crocante por fora enquanto é mais cremosa por dentro. ",https://receitas.globo.com/tipos-de-prato/bolos/bolo-sueco-de-chocolate-branco-vit-kladdchokladtarta-501d1b804d38857d05000040.ghtml
